2025-01-23 23:18:14,427 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Configure stats pid to 1409180
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Loading settings from /common/home/hg343/.config/wandb/settings
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Loading settings from /common/home/hg343/Research/accelerate_combo_option/src/wandb/settings
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/single_stock_frontier_data_preprocessor.py', 'program_abspath': '/common/home/hg343/Research/accelerate_combo_option/src/single_stock_frontier_data_preprocessor.py', 'program': '/common/home/hg343/Research/accelerate_combo_option/src/single_stock_frontier_data_preprocessor.py'}
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_init.py:_log_setup():520] Logging user logs to /common/home/hg343/Research/accelerate_combo_option/src/wandb/run-20250123_231814-fomdbahe/logs/debug.log
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_init.py:_log_setup():521] Logging internal logs to /common/home/hg343/Research/accelerate_combo_option/src/wandb/run-20250123_231814-fomdbahe/logs/debug-internal.log
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_init.py:init():560] calling init triggers
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_init.py:init():610] starting backend
2025-01-23 23:18:14,428 INFO    MainThread:1409180 [wandb_init.py:init():614] setting up manager
2025-01-23 23:18:14,429 INFO    MainThread:1409180 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-23 23:18:14,431 INFO    MainThread:1409180 [wandb_init.py:init():622] backend started and connected
2025-01-23 23:18:14,433 INFO    MainThread:1409180 [wandb_init.py:init():711] updated telemetry
2025-01-23 23:18:14,451 INFO    MainThread:1409180 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2025-01-23 23:18:14,719 INFO    MainThread:1409180 [wandb_run.py:_on_init():2396] communicating current version
2025-01-23 23:18:14,749 INFO    MainThread:1409180 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.19.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-01-23 23:18:14,749 INFO    MainThread:1409180 [wandb_init.py:init():795] starting run threads in backend
2025-01-23 23:18:27,469 INFO    MainThread:1409180 [wandb_run.py:_console_start():2374] atexit reg
2025-01-23 23:18:27,469 INFO    MainThread:1409180 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2025-01-23 23:18:27,469 INFO    MainThread:1409180 [wandb_run.py:_redirect():2294] Wrapping output streams.
2025-01-23 23:18:27,469 INFO    MainThread:1409180 [wandb_run.py:_redirect():2319] Redirects installed.
2025-01-23 23:18:27,471 INFO    MainThread:1409180 [wandb_init.py:init():838] run started, returning control to user process
